,净值,杠杆倍数,每日PnL,资金占用比例
2013-01-04,1.0,0.0,0.0,0.0
2013-01-07,1.0,0.0,0.0,0.0
2013-01-08,0.99526,1.00355,-4740.0,0.07058306372204248
2013-01-09,0.991575,0.999475,-3685.0,0.07055769861079596
2013-01-10,0.99034,1.00123,-1235.0,0.07076973564634369
2013-01-11,0.990295,0.985585,-45.0,0.06966706890371052
2013-01-14,0.992945,0.95589,2650.0,0.06738772036719053
2013-01-15,0.991365,0.98825,-1580.0,0.0697800507381237
2013-01-16,0.992825,0.9313,1460.0,0.06566212575227255
2013-01-17,0.995805,0.93572,2980.0,0.06577633171152986
2013-01-18,0.999185,0.95062,3380.0,0.06659767710684207
2013-01-21,0.99945,0.99422,265.0,0.0696336985341938
2013-01-22,0.99716,0.99492,-2290.0,0.06984275341971198
2013-01-23,0.99388,0.99991,-3280.0,0.07042469915885219
2013-01-24,0.994875,0.997335,995.0,0.07017308707124012
2013-01-25,0.99393,1.03692,-945.0,0.07302767800549334
2013-01-28,0.999855,1.009835,5925.0,0.0706987013116902
2013-01-29,1.00201,0.92691,2155.0,0.06475354537379867
2013-01-30,0.99897,1.018695,-3040.0,0.07138217363884802
2013-01-31,0.999065,1.01965,95.0,0.07144229854914347
2013-02-01,1.00033,1.025135,1265.0,0.07173577719352615
2013-02-04,1.005035,0.982325,4705.0,0.0684182640405558
2013-02-05,1.00763,0.93885,2595.0,0.06522185722934014
2013-02-06,1.011025,0.935375,3395.0,0.06476224623525631
2013-02-07,1.011295,0.950745,270.0,0.06580883916166896
2013-02-08,1.01291,0.94892,1615.0,0.06557779072178181
2013-02-18,1.01703,0.93916,4120.0,0.06464037442356667
2013-02-19,1.01341,0.9379,-3620.0,0.06478424329738211
2013-02-20,1.01659,0.93428,3180.0,0.06433232670004624
2013-02-21,1.01597,0.98914,-620.0,0.06815142179395062
2013-02-22,1.016335,0.96566,365.0,0.06650976302105113
2013-02-25,1.017795,0.94436,1460.0,0.06494942498243753
2013-02-26,1.013715,0.93108,-4080.0,0.06429381039049438
