date,NormalIC,NormalIR,RankIC,RankIR,FacRtn,RtnIR,number
2006-12-18,,,,,0.0,,1
2006-12-19,,,,,,,1
2006-12-20,,,,,,,1
2006-12-21,,,,,,,1
2006-12-22,,,,,,,1
2006-12-25,,,,,,,1
2006-12-26,,,,,,,1
2006-12-27,,,,,,,1
2006-12-28,,,,,,,1
2006-12-29,,,,,,,1
2007-01-04,,,,,,,1
2007-01-05,,,,,,,1
2007-01-08,,,,,,,1
2007-01-09,,,,,,,1
2007-01-10,,,,,,,1
2007-01-11,,,,,,,1
2007-01-12,,,,,,,1
2007-01-15,,,,,,,1
2007-01-16,,,,,,,1
2007-01-17,,,,,,,1
2007-01-18,,,,,,,1
2007-01-19,,,,,,,1
2007-01-22,,,,,,,1
2007-01-23,,,,,,,1
2007-01-24,,,,,,,1
2007-01-25,,,,,,,1
2007-01-26,,,,,,,1
2007-01-29,,,,,,,1
2007-01-30,,,,,,,1
2007-01-31,,,,,,,1
2007-02-01,,,,,,,1
2007-02-02,,,,,,,1
2007-02-05,,,,,,,1
2007-02-06,,,,,,,1
2007-02-07,,,,,,,1
2007-02-08,,,,,,,1
2007-02-09,,,,,,,1
2007-02-12,,,,,,,1
2007-02-13,,,,,,,1
2007-02-14,,,,,,,1
2007-02-15,,,,,,,1
2007-02-16,,,,,,,1
2007-02-26,,,,,,,1
2007-02-27,,,,,,,1
2007-02-28,,,,,,,1
2007-03-01,,,,,,,1
2007-03-02,,,,,,,1
2007-03-05,,,,,,,1
2007-03-06,,,,,,,1
2007-03-07,,,,,,,1
2007-03-08,,,,,,,1
2007-03-09,,,,,,,1
2007-03-12,,,,,,,1
2007-03-13,,,,,,,1
2007-03-14,,,,,,,1
2007-03-15,,,,,,,1
2007-03-16,,,,,,,1
2007-03-19,,,,,,,1
2007-03-20,,,,,,,1
2007-03-21,,,,,,,1
2007-03-22,,,,,,,1
2007-03-23,,,,,,,1
2007-03-26,,,,,,,1
2007-03-27,,,,,,,1
2007-03-28,,,,,,,1
2007-03-29,,,,,,,1
2007-03-30,,,,,,,1
2007-04-02,,,,,,,1
2007-04-03,,,,,,,1
2007-04-04,,,,,,,1
2007-04-05,,,,,,,1
2007-04-06,,,,,,,1
2007-04-09,,,,,,,1
2007-04-10,,,,,,,1
2007-04-11,,,,,,,1
2007-04-12,,,,,,,1
2007-04-13,,,,,,,1
2007-04-16,,,,,,,1
2007-04-17,,,,,,,1
2007-04-18,,,,,,,1
2007-04-19,,,,,,,1
2007-04-20,,,,,,,1
2007-04-23,,,,,,,1
2007-04-24,,,,,,,1
2007-04-25,,,,,,,1
2007-04-26,,,,,,,1
2007-04-27,,,,,,,1
2007-04-30,,,,,,,1
2007-05-08,,,,,,,1
2007-05-09,,,,,,,1
2007-05-10,,,,,,,1
2007-05-11,,,,,,,1
2007-05-14,,,,,,,1
2007-05-15,,,,,,,1
2007-05-16,,,,,,,1
2007-05-17,,,,,,,1
